gene_accession_number,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20,Exp21,Exp22,Exp23,Exp24,Exp25,Exp26,Exp27,Exp28,Exp29,Exp30,Exp31,Exp32,Exp33,Exp34,Exp35,Exp36,Exp37,Exp38,p-value
 ,(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(AML),(AML),(AML),(AML),(AML),(AML),(AML),(AML),(AML),(AML),(AML),
U22376_cds2_s_at,3105,1118,4543,5467,3469,3309,3936,4745,4081,1658,2853,551,4746,1534,5311,4326,7155,1178,3427,6870,9177,4836,3085,5815,1872,3265,2877,1126,880,473,186,680,794,1312,485,408,1047,335,8.38871E-09
X59417_at,3016,3424,7724,3821,5216,4194,5528,2073,7782,5204,6541,846,7743,1756,7288,6084,2455,1273,6482,7629,5746,699,2443,3840,3878,3262,1810,782,490,1648,528,99,1203,1561,1628,1784,1214,1583,9.82165E-08
M55150_at,654,1283,1286,915,732,691,853,1238,822,885,680,412,548,1157,387,707,1822,738,907,860,92,686,803,803,842,514,561,1811,1406,1707,2072,1753,1929,1647,2112,1555,1514,2693,2.47259E-07
M31211_s_at,601,435,547,472,661,337,309,263,978,752,897,334,668,265,898,666,374,516,473,1487,688,143,376,531,481,647,145,153,20,88,139,75,300,237,100,192,339,59,2.91521E-07
D26156_s_at,1595,822,1452,654,1011,1584,578,1024,1297,971,1913,329,1593,1011,1763,2065,1778,764,1448,2191,768,1323,1992,1210,738,2143,1245,302,201,667,697,721,893,624,388,432,706,736,5.184E-07
M92287_at,4778,2700,4926,5403,3440,3179,3978,3293,7324,2676,6134,2056,10669,1912,9211,3345,2360,1316,2492,6464,524,3253,3796,4093,1689,5204,2581,498,165,1309,852,1484,1283,1525,811,1032,1024,1827,6.82653E-07
U09087_s_at,358,82,263,218,186,209,144,167,385,146,89,37,283,179,314,106,335,119,91,268,20,30,334,204,81,109,139,34,48,74,52,33,91,58,20,61,50,20,7.43519E-07
M28170_at,397,20,183,363,251,74,280,235,24,20,20,84,87,155,371,360,20,195,285,470,514,95,53,418,391,495,219,20,67,20,20,20,20,35,20,20,20,20,1.09164E-06
S50223_at,268,346,804,452,476,256,208,310,640,152,441,90,545,570,571,235,352,20,84,867,323,241,493,502,301,101,20,56,168,20,20,62,107,150,20,31,210,20,1.2209E-06
